,ort,plz,bundesland,latitude,longitude,demand
615,Mülheim an der Ruhr,45478,Nordrhein-Westfalen,51.43369315,6.841204045808631,247
616,Mülheim an der Ruhr,45479,Nordrhein-Westfalen,51.42068106195224,6.857662322598291,259
617,Mülheim an der Ruhr,45481,Nordrhein-Westfalen,51.384961700000005,6.864841878059363,271
618,Münster,48143,Nordrhein-Westfalen,51.96044395,7.626244234828553,197
619,Münster,48145,Nordrhein-Westfalen,51.96596465,7.6536782241837145,194
620,Münster,48147,Nordrhein-Westfalen,51.98394765000001,7.640189689051976,287
621,Münster,48149,Nordrhein-Westfalen,51.97975465,7.586237956572876,252
622,Münster,48151,Nordrhein-Westfalen,51.939695,7.6077743407875165,185
623,Münster,48153,Nordrhein-Westfalen,51.9369736,7.6310449307187005,240
624,Münster,48155,Nordrhein-Westfalen,51.92971725,7.649414763605591,162
625,Münster,48157,Nordrhein-Westfalen,51.995993871360064,7.6806347394884815,205
626,Münster,48159,Nordrhein-Westfalen,52.0153914,7.602874276180668,157
627,Münster,48161,Nordrhein-Westfalen,51.98924935,7.5383949392965555,275
628,Münster,48163,Nordrhein-Westfalen,51.9258202,7.567625,289
629,Münster,48165,Nordrhein-Westfalen,51.9108428,7.608466059771767,182
630,Münster,48167,Nordrhein-Westfalen,51.91235820000001,7.71566467005772,255
631,Nachrodt-Wiblingwerde,58769,Nordrhein-Westfalen,51.31371015000001,7.616628915042508,177
632,Netphen,57250,Nordrhein-Westfalen,50.95226025,8.081624150731518,262
633,Nettersheim,53947,Nordrhein-Westfalen,50.49249715,6.662258515994616,268
634,Nettetal,41334,Nordrhein-Westfalen,51.309233299999995,6.237523967628339,239
635,Neuenkirchen,48485,Nordrhein-Westfalen,52.23683565,7.3675479411551645,164
636,Neuenrade,58809,Nordrhein-Westfalen,51.2815924,7.8247529253695705,292
637,Neukirchen-Vluyn,47506,Nordrhein-Westfalen,51.4413653,6.572621062596872,274
638,Neunkirchen,57290,Nordrhein-Westfalen,50.7840542,8.031769302760086,176
639,Neunkirchen-Seelscheid,53819,Nordrhein-Westfalen,50.857617100000006,7.344489199242426,212
640,Neuss,41460,Nordrhein-Westfalen,51.22572535,6.68434605,156
641,Neuss,41462,Nordrhein-Westfalen,51.22570105,6.682868654631473,268
