ort,plz,bundesland,latitude,longitude
Dortmund,44149,Nordrhein-Westfalen,51.5001803,7.414470755075609
Dortmund,44225,Nordrhein-Westfalen,51.478621950000004,7.450535102572993
Dortmund,44227,Nordrhein-Westfalen,51.46467605,7.415219065857368
Dortmund,44229,Nordrhein-Westfalen,51.45124815,7.459371594359999
Dortmund,44263,Nordrhein-Westfalen,51.487615399999996,7.497865003856438
Dortmund,44265,Nordrhein-Westfalen,51.4498508,7.495981811122683
Dortmund,44267,Nordrhein-Westfalen,51.455419,7.524705411354844
Dortmund,44269,Nordrhein-Westfalen,51.495683099999994,7.535318058125542
Dortmund,44287,Nordrhein-Westfalen,51.47942885,7.5572189365435225
Dortmund,44289,Nordrhein-Westfalen,51.49320675,7.587655573852402
Dortmund,44309,Nordrhein-Westfalen,51.53948685,7.562224249999998
Dortmund,44319,Nordrhein-Westfalen,51.53868205727801,7.600847015749722
Dortmund,44328,Nordrhein-Westfalen,51.5461325,7.532897538752698
Dortmund,44329,Nordrhein-Westfalen,51.5602764,7.520506182721225
Dortmund,44339,Nordrhein-Westfalen,51.54759835,7.463767314728483
Dortmund,44357,Nordrhein-Westfalen,51.56262115,7.372195549999998
Dortmund,44359,Nordrhein-Westfalen,51.56799985,7.39140305
Dortmund,44369,Nordrhein-Westfalen,51.5334945,7.398517445451249
Dortmund,44379,Nordrhein-Westfalen,51.516097200000004,7.3729400822378475
Dortmund,44388,Nordrhein-Westfalen,51.5196378,7.319129035996581
Drensteinfurt,48317,Nordrhein-Westfalen,51.80108015,7.74357311714305
Drolshagen,57489,Nordrhein-Westfalen,51.04320465,7.74189578609051
Duisburg,47051,Nordrhein-Westfalen,51.42904515,6.768920700724886
Duisburg,47053,Nordrhein-Westfalen,51.421303550000005,6.750247389077171
Duisburg,47055,Nordrhein-Westfalen,51.4023339,6.773165744578531
Duisburg,47057,Nordrhein-Westfalen,51.415234600000005,6.794584863415967
Duisburg,47058,Nordrhein-Westfalen,51.441238850000005,6.795973635769709
Duisburg,47059,Nordrhein-Westfalen,51.43130825,6.74656678269778
Duisburg,47119,Nordrhein-Westfalen,51.45776600000001,6.7358415295493455
Duisburg,47137,Nordrhein-Westfalen,51.471479099999996,6.766989004585847
Duisburg,47138,Nordrhein-Westfalen,51.4665851,6.800176329457646
Duisburg,47139,Nordrhein-Westfalen,51.4814315,6.717439882810067
Duisburg,47166,Nordrhein-Westfalen,51.4923578,6.751044122762707
Duisburg,47167,Nordrhein-Westfalen,51.501386249999996,6.8024681099918265
Duisburg,47169,Nordrhein-Westfalen,51.514339199999995,6.762317163170632
Duisburg,47178,Nordrhein-Westfalen,51.540285961981155,6.722670038498866
Duisburg,47179,Nordrhein-Westfalen,51.52150475,6.741807718636953
Duisburg,47198,Nordrhein-Westfalen,51.451318099999995,6.699330581478133
Duisburg,47199,Nordrhein-Westfalen,51.492489750000004,6.678900168214582
Duisburg,47226,Nordrhein-Westfalen,51.405152799999996,6.71757719177452
Duisburg,47228,Nordrhein-Westfalen,51.4121598,6.67939695
Duisburg,47229,Nordrhein-Westfalen,51.3929409,6.719825534180668
Duisburg,47239,Nordrhein-Westfalen,51.39749954512204,6.657952402546775
Duisburg,47249,Nordrhein-Westfalen,51.3829895,6.738887163234726
Duisburg,47259,Nordrhein-Westfalen,51.352167050000006,6.71937560466163
Duisburg,47269,Nordrhein-Westfalen,51.3621564,6.79777036547962
Duisburg,47279,Nordrhein-Westfalen,51.3851808,6.8009793029009895
Dülmen,48249,Nordrhein-Westfalen,51.8147469,7.286007668541764
Düren,52349,Nordrhein-Westfalen,50.7996467,6.466658992689656
Düren,52351,Nordrhein-Westfalen,50.7892443,6.512434046558933
Düren,52353,Nordrhein-Westfalen,50.82160375,6.470012943012884
Düren,52355,Nordrhein-Westfalen,50.7695502,6.473260996393238
Düsseldorf,40210,Nordrhein-Westfalen,51.221407299999996,6.790236441198006
Düsseldorf,40211,Nordrhein-Westfalen,51.23040675,6.7925747668218595
Düsseldorf,40212,Nordrhein-Westfalen,51.2236819,6.7811034418667555
Düsseldorf,40213,Nordrhein-Westfalen,51.21883285,6.776530197222222
Düsseldorf,40215,Nordrhein-Westfalen,51.214771999999996,6.78520037692272
Düsseldorf,40217,Nordrhein-Westfalen,51.2131204,6.774468959322261
Düsseldorf,40219,Nordrhein-Westfalen,51.213772250000005,6.761259910673933
Düsseldorf,40221,Nordrhein-Westfalen,51.2050913,6.747301442649994
Düsseldorf,40223,Nordrhein-Westfalen,51.1966518,6.772220283233301
Düsseldorf,40225,Nordrhein-Westfalen,51.19524065,6.793096558889756
Düsseldorf,40227,Nordrhein-Westfalen,51.21185245,6.803743041475098
Düsseldorf,40229,Nordrhein-Westfalen,51.198683349999996,6.840806712480272
Düsseldorf,40231,Nordrhein-Westfalen,51.2123432,6.829858040475454
Düsseldorf,40233,Nordrhein-Westfalen,51.22123945,6.813736096773572
Düsseldorf,40235,Nordrhein-Westfalen,51.2337177,6.825832361464531
Düsseldorf,40237,Nordrhein-Westfalen,51.2380348,6.810505541206896
Düsseldorf,40239,Nordrhein-Westfalen,51.2442274,6.804606861894325
Düsseldorf,40468,Nordrhein-Westfalen,51.26984145,6.772588351201519
Düsseldorf,40470,Nordrhein-Westfalen,51.25378595,6.807852393984893
Düsseldorf,40472,Nordrhein-Westfalen,51.2712893,6.8267149793639925
Düsseldorf,40474,Nordrhein-Westfalen,51.269897650000004,6.727197459322639
Düsseldorf,40476,Nordrhein-Westfalen,51.24775355,6.7831089346743365
Düsseldorf,40477,Nordrhein-Westfalen,51.2387222,6.785416654844472
Düsseldorf,40479,Nordrhein-Westfalen,51.23378935,6.77941938385185
Düsseldorf,40489,Nordrhein-Westfalen,51.31942975,6.775137507878991
Düsseldorf,40545,Nordrhein-Westfalen,51.2279685,6.753544735081723
Düsseldorf,40547,Nordrhein-Westfalen,51.24425095,6.7399432676641595
Düsseldorf,40549,Nordrhein-Westfalen,51.2344701,6.7211511922270475
Düsseldorf,40589,Nordrhein-Westfalen,51.172712250000004,6.80910615
Düsseldorf,40591,Nordrhein-Westfalen,51.192606999999995,6.8212349356638295
Düsseldorf,40593,Nordrhein-Westfalen,51.1433685,6.86525586993907
Düsseldorf,40595,Nordrhein-Westfalen,51.141652699999995,6.9022959815318465
Düsseldorf,40597,Nordrhein-Westfalen,51.165500449999996,6.876422537580367
Düsseldorf,40599,Nordrhein-Westfalen,51.1796944,6.8725057346313765
Düsseldorf,40625,Nordrhein-Westfalen,51.232921149999996,6.852890770161254
Düsseldorf,40627,Nordrhein-Westfalen,51.2053644,6.878090835090557
Düsseldorf,40629,Nordrhein-Westfalen,51.25490485,6.884746944496003
Düsseldorf,40721,Nordrhein-Westfalen,51.1734657,6.936619788103449
Eitorf,53783,Nordrhein-Westfalen,50.76539,7.403642400000002
Elsdorf,50189,Nordrhein-Westfalen,50.93419075,6.562885598438715
Emmerich am Rhein,46446,Nordrhein-Westfalen,51.82714105,6.2784014
Emsdetten,48282,Nordrhein-Westfalen,52.1795343,7.496481075749195
Engelskirchen,51766,Nordrhein-Westfalen,50.994051400000004,7.4787711789280475
Enger,32130,Nordrhein-Westfalen,52.11775465,8.543066795712809
Ennepetal,58256,Nordrhein-Westfalen,51.291002950000006,7.317073401705878
Ennigerloh,59320,Nordrhein-Westfalen,51.8356632,8.032139813006058
Ense,59469,Nordrhein-Westfalen,51.50203355,7.970380789704771
Erftstadt,50374,Nordrhein-Westfalen,50.793652550000004,6.775546415388894
Erkelenz,41812,Nordrhein-Westfalen,51.060461000000004,6.382827149097087
Erkrath,40699,Nordrhein-Westfalen,51.2289803,6.9101549
Erndtebrück,57339,Nordrhein-Westfalen,50.9915175,8.257600913962591
Erwitte,59597,Nordrhein-Westfalen,51.609652,8.317349434639365
Eschweiler,52249,Nordrhein-Westfalen,50.83130285,6.268675713215865
Eslohe,59889,Nordrhein-Westfalen,51.23134095,8.133751466180872
Espelkamp,32339,Nordrhein-Westfalen,52.37311645,8.634137253915846
Essen,45127,Nordrhein-Westfalen,51.4574619,7.010343524782744
Essen,45128,Nordrhein-Westfalen,51.44549405,7.013180307943294
Essen,45130,Nordrhein-Westfalen,51.4378084,7.0151002016806725
Essen,45131,Nordrhein-Westfalen,51.42886435,7.002738296715313
Essen,45133,Nordrhein-Westfalen,51.383658350000005,6.963895904561053
Essen,45134,Nordrhein-Westfalen,51.4245644,7.033606270221329
Essen,45136,Nordrhein-Westfalen,51.4368472,7.041542117614815
Essen,45138,Nordrhein-Westfalen,51.4480699,7.0407870635770236
Essen,45139,Nordrhein-Westfalen,51.4668719,7.047779175686275
Essen,45141,Nordrhein-Westfalen,51.47765855,7.035230389057875
Essen,45143,Nordrhein-Westfalen,51.467613150000005,6.968943187500506
Essen,45144,Nordrhein-Westfalen,51.452308099999996,6.969896574016593
Essen,45145,Nordrhein-Westfalen,51.4466252,6.975983309491623
Essen,45147,Nordrhein-Westfalen,51.439,6.978437988155271
Essen,45149,Nordrhein-Westfalen,51.43644965,6.9646594
Essen,45219,Nordrhein-Westfalen,51.3750365,6.940839427649813
